First name,Last name,Organization
Steven,Bradley,Durham University
Michel,Wermelinger,The Open University
Samia,Kamal,Oxford Brookes University
Michael,Scott,Falmouth University
Tom,Crick,Swansea University
Daniel,Onah,Lancaster University
Marie,Devlin,Newcastle University
James H.,Davenport,University of Bath
Karen,Kear,The Open University
Jane,Waite,Queen Mary University of London
Brett,Becker,University College Dublin
Rosanne,English,University of Strathclyde
Jane,Sinclair,The University of Warwick
Neil,Brown,King's College London
David,Bowers,The Open University
